performance_tier,network_bandwidth,client_name,i_reliability,i_performance_factor,cpu,ram,expected_execution_time,data_ratio,discrepancy_level
1,40.27,exponential-parallel,0.2458,1.35,4,16,160,0.0003002335790636526,0.4916816060404647
1,24.25,forgiving-bed,0.18536,0.88,4,16,160,9.579092035118016e-05,0.3927977308031558
2,0.16,flavorful-influencer,0.12387,0.9,8,32,80,0.00021087306771752854,0.3671341555831145
1,25.35,chewy-poplar,0.05117,1.04,4,16,160,1.286081801011215e-05,0.3440328487180965
2,28.22,bitter-width,0.15804,1.17,8,32,80,3.193030678372672e-05,0.3962377905336267
2,28.74,associative-board,0.18191,1.06,8,32,80,0.00024280337450125527,0.2371378579511932
0,20.05,mint-pass,0.09885,1.04,16,64,40,0.00020444265871247247,0.4471574198853505
1,24.17,concrete-raclette,0.09267,1.12,4,16,160,5.122153379889495e-05,0.4401101220010034
0,17.79,new-carp,0.39082,1.38,16,64,40,0.00040245490841988885,0.3362326550873734
0,42.1,golden-delta,0.06605,0.62,16,64,40,0.0003512333746209939,0.3290472131364243
1,26.37,graceful-input,0.1991,1.02,4,16,160,3.83607157887828e-05,0.3365615874533231
1,28.52,cerulean-overpass,0.10328,0.74,4,16,160,3.83607157887828e-05,0.2710137672100442
1,17.37,direct-user,0.05645,1.01,4,16,160,0.00021087306771752854,0.3664639446564065
0,4.83,vicious-walk,0.02587,0.83,16,64,40,0.0001470124541500751,0.3004269277814278
0,18.63,wide-bandit,0.04215,1.2,16,64,40,2.57216360202243e-05,0.332538352625646
2,22.19,woolen-superset,0.05476,1.03,8,32,80,0.00012151255637140446,0.5603933497518827
2,19.28,muffled-center,0.08267,0.67,8,32,80,5.765194280395102e-05,0.2890731711345314
2,27.63,spicy-en,0.09036,1.26,8,32,80,1.286081801011215e-05,0.324307124593969
1,29.24,insulated-shiraz,0.2194,1.15,4,16,160,0.0003193030678372672,0.5408273998861683
0,13.02,drab-turret,0.17794,0.75,16,64,40,0.00012772122713490688,0.5682783966419294
0,12.37,brown-rotation,0.21006,0.87,16,64,40,2.57216360202243e-05,0.3492979836723744
2,22.56,religious-taquito,0.01048,1.01,8,32,80,0.0003130943970737648,0.6392533708586947
1,22.51,equidistant-pole,0.13523,0.75,4,16,160,5.122153379889495e-05,0.2894340445564946
2,10.52,beveled-albariño,0.01288,0.97,8,32,80,3.83607157887828e-05,0.5413699941554073
2,6.88,light-base,0.07435,0.83,8,32,80,0.00039602449941483276,0.4112833435912176
2,38.31,visible-agent,0.06732,1.1,8,32,80,1.286081801011215e-05,0.4785849497094701
1,10.7,complete-indent,0.04149,0.78,4,16,160,3.83607157887828e-05,0.2355748782839461
0,2.67,chocolaty-jump,0.06352,1.17,16,64,40,0.00019158184070236031,0.2739975515577088
1,27.71,ecru-ghost,0.04037,1.1,4,16,160,0.00039602449941483276,0.3792182620851629
1,26.17,damaged-box,0.06611,0.84,4,16,160,0.00039602449941483276,0.5186327003739382
2,23.42,acidic-dialogue,0.14283,0.76,8,32,80,5.122153379889495e-05,0.35868507729719
0,43.59,pointed-river,0.02405,1.17,16,64,40,5.122153379889495e-05,0.4805733367882553
2,31.79,kind-veal,0.17193,0.88,8,32,80,0.00016608194292368967,0.2884098571520594
